,survey_info_response_id,demographic_distribution,non_cash_incentives,willingness,attitude,cash_incentives,education,demographic_practice_list,demographic_role_list,demographic_years_in_practice,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size
0,R_1dMlSI0KXyxsTZn,ucsf,-0.5605550400111559,1.2510958509754082,0.3167716428724628,1.1285699410571317,0.27743418192746067,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,16,West,9,123
1,R_7QYh6bTyOmOQo3D,ucsf,-0.5297428323349151,0.6145722087119482,0.24633374622875026,0.3801510373251123,0.6730005866823829,['Pediatric Surgery'],,1,West,9,123
2,R_6tYa59Tv4zOhQgp,ucsf,-1.3497525620519961,-1.2526316030407032,0.41784626477937903,1.3561357027666077,-0.8385860950636229,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,West,9,123
3,R_25RsYOfgaO79uts,ucsf,0.15872400699299002,0.5207978051733883,0.030936059668656757,0.8164398488360124,0.34970166528005064,['Breast Surgery'],,15,West,9,123
4,R_22qNtCIlTv6yOWH,ucsf,-1.4756355578068783,1.0521133842575856,1.8663488372792474,-1.3863903978975725,-0.7709469691762372,['Vascular Surgery'],,1,West,9,123
5,R_25uoAdxWGbbGHRo,ucsf,-1.1950599839681126,-0.6598986556384235,0.5424341406743257,-0.25541589573818835,1.8470912970356255,['Vascular Surgery'],,17,West,9,123
6,R_2aOxGecyTWdWk4p,ucsf,-0.7238810005555391,-2.0351313351747393,-0.2982850110779653,-1.5101201441481917,-0.6119808586897946,['Pediatric Surgery'],,16,West,9,123
7,R_1ouJGe4CiooCMEZ,ucsf,-1.5614239656266982,0.5781127150687148,1.3109917411817196,-0.9265577896050015,1.6258510644971875,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),15,West,9,123
8,R_3n7AoqNYrAEX7x0,ucsf,1.3636363317249334,0.4807661068814052,1.107635449539963,0.537200848354315,0.5852699744714014,['Other'],,37,West,9,123
9,R_3hgWtBfuCmPnTIc,ucsf,1.0321135097259055,0.18872227538334688,1.2725275622786432,0.6120552065079815,0.431231212900939,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Surgical Oncology', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",,18,West,9,123
10,R_1eElmoy8b911U0m,ucsf,-0.5429527116337973,0.8539017093552107,-0.6881250115087929,0.3958709761388101,0.18023268307881454,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Hepatopancreaticobiliary Surgery']",,25,West,9,123
11,R_2B40qDlGEaL8XCU,ucsf,-1.0308982434536198,-2.8867211211476236,-0.8149930624484023,1.5516095626511022,0.29413269960973915,"['Abdominal Wall/Hernia Surgery', 'Hepatopancreaticobiliary Surgery']",,28,West,9,123
12,R_2AHyf48UYcC1vyU,ucsf,0.9418211375041947,-0.011171963558580657,-0.60670555326712,-0.5097793064092286,0.5415515244976921,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,11,West,9,123
13,R_1kZCeMij5mbGp10,ucsf,-1.1669355823362857,0.4864633536863629,-0.6025392061879319,1.5810724402878864,-0.35793452668420644,"['Hepatopancreaticobiliary Surgery', 'Transplant Surgery']",Program Director (or Assistant Program Director),28,West,9,123
14,R_11Z3AaEw8hTtY10,ucsf,1.4921604904143233,1.2852114474315688,-0.8290609218530708,0.27835115224490165,-0.8114052273174878,['Trauma Surgery/Critical Care'],,8,West,9,123
15,R_1Cf0dOpW1htTdBY,ucsf,-0.19814069905000145,-0.7207301737399475,0.2535403794327072,0.3719077032683805,-0.8795742470726988,['Trauma Surgery/Critical Care'],,20,West,9,123
16,R_saQqkPLD6gCzE2t,und,-0.3934039832530561,0.031854326099409566,1.4890083845129054,-1.907181923725248,-0.6755524643087873,['Surgical Oncology'],,10,Midwest,8,11
17,R_3nivVyUGNwAmGgl,ucsf,1.396958391890706,0.7073554529070972,0.3989987730499253,0.6351995370778795,-0.9866577446551545,['Breast Surgery'],,9,West,9,123
18,R_b1vT1A6XQQohx8l,ucsf,0.327443419846734,-0.1295499737381704,-0.2141583880003833,0.03585933613668618,-0.5390448899916886,['Colon and Rectal Surgery'],,23,West,9,123
19,R_Ua86DkiyOqbCBSp,lahey,-1.279279419920322,0.7864272181441079,-0.15722790193549316,-1.9697792697411145,0.19306575549997584,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Endocrine Surgery']",,32,Northeast,1,38
20,R_3kH69Vk2aGDnz1m,lahey,-0.03743956330570761,-0.4122273911193114,-0.7082872353942613,0.3667349370076199,-1.144240906304811,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,Northeast,1,38
21,R_2cthvSPZIZMn7y6,lahey,0.992790078882798,0.5158690543948432,-0.2931569756202161,0.5882138142824577,0.08862576925510339,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Colon and Rectal Surgery']",,6,Northeast,1,38
22,R_22P4uoBqFw6AaB9,lahey,0.889546834324697,0.5472957707043739,0.44472574858909536,-0.309280441309237,0.1202886954413213,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,15,Northeast,1,38
23,R_1pMBVv9zqpkRT8o,lahey,-0.6340081507101718,0.703101253661832,-0.32819615978081007,-0.4860647817226816,0.8487891526869831,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),22,Northeast,1,38
24,R_PML7XAVKkG0hh4d,lahey,0.9725342663593278,-1.1168726104087356,0.1890072815569167,-0.07298486609649499,-0.07811864789468836,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Colon and Rectal Surgery']",,3,Northeast,1,38
25,R_3hlLW31yXVB5CHU,ucsf,1.6718591006828478,0.4027896008918479,1.0094696767534466,0.3894265530344015,0.30414898945447527,"['Breast Surgery', 'Pediatric Surgery', 'Trauma Surgery/Critical Care', 'Other']",,15,West,9,123
26,R_2YtxNvN5s0w2l7N,lahey,0.9244627883508407,-1.094028226262297,0.39669023650367935,0.08937689544988807,3.0110024196725655,['Vascular Surgery'],Department Chair,35,Northeast,1,38
