,survey_info_start_date,survey_info_end_date,survey_info_status,survey_info_ip_address,survey_info_progress,survey_info_duration,survey_info_finished,survey_info_recorded_date,survey_info_response_id,survey_info_last_name,survey_info_first_name,survey_info_email,survey_info_reference,survey_info_latitute,survey_info_longitude,survey_info_dist_channel,survey_info_language,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,inactive_state,inactive_institution_name,inactive_practice_setting,demographic_practice_list,demographic_role_list,demographic_years_in_practice,comments_text,demographic_distribution,quality_ambiguous_text,quality_ambiguous_questions,quality_straightlining_pct,quality_straightlining_questions,quality_unanswered_pct,quality_unanswered_questions,,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size,quality_unanswered_length
0,2023-05-03 10:47:46,2023-05-03 10:51:05,IP Address,128.218.42.33,100,198,True,2023-05-03 10:51:05,R_1dMlSI0KXyxsTZn,,,,,37.7562,-122.4866,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Moderately well,Moderate effort,Not very well,Quite true,Extremely true,Sometimes,Almost always,Moderately true,Moderately confident,Extremely willing,I am already doing this,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Not at all motivated,Not at all motivated,Slightly motivated,Slightly motivated,Extremely motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,16,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
1,2023-06-07 16:41:39,2023-06-07 16:44:51,IP Address,64.54.15.149,100,191,True,2023-06-07 16:44:52,R_7QYh6bTyOmOQo3D,,,,,37.7695,-122.385,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Moderately well,Slight effort,Slightly well,Quite true,Quite true,Sometimes,Sometimes,Quite true,Moderately confident,Extremely willing,Extremely willing,Quite willing,Quite willing,Extremely willing,Quite willing,Quite willing,Extremely willing,I am already doing this,Quite willing,Quite motivated,Quite motivated,Quite motivated,Quite motivated,Moderately motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,['Pediatric Surgery'],,1,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
3,2023-06-07 16:50:57,2023-06-07 16:54:19,IP Address,71.202.126.93,100,202,True,2023-06-07 16:54:20,R_6tYa59Tv4zOhQgp,,,,,37.7703,-122.4407,anonymous,EN,Extremely critical,Extremely motivated,Quite a high priority,Not very well,Not at a lot of effort,Slightly well,Quite true,Moderately true,Often,Sometimes,Slightly true,Moderately confident,Quite willing,Moderately willing,Quite willing,Quite willing,Moderately willing,Moderately willing,Quite willing,Not at all willing,I am already doing this,I am already doing this,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,Slightly motivated,,,,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,,ucsf,0,,0,0,,['0.08571428571428572'],"QID1,QID13,QID62",West,9,123,1
4,2023-06-07 16:57:44,2023-06-07 17:02:53,IP Address,72.110.116.35,100,308,True,2023-06-07 17:02:53,R_25RsYOfgaO79uts,,,,,37.3313,-121.8401,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Not very well,Not at a lot of effort,Not very well,Slightly true,Quite true,Often,Almost always,Extremely true,Not at all confident,I am already doing this,Slightly willing,Not at all willing,I am already doing this,I am already doing this,Not at all willing,Not at all willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Not at all motivated,Extremely motivated,Not at all motivated,Extremely motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Breast Surgery'],,15,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
5,2023-06-07 17:02:59,2023-06-07 17:06:53,IP Address,128.218.42.21,100,234,True,2023-06-07 17:06:54,R_22qNtCIlTv6yOWH,,,,,37.7642,-122.3993,anonymous,EN,Extremely critical,Quite motivated,Quite a high priority,Slightly well,Slight effort,Slightly well,Quite true,Quite true,Sometimes,Sometimes,Moderately true,Slightly confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Quite willing,Slightly willing,Moderately willing,Quite willing,Extremely motivated,Moderately motivated,Extremely motivated,Quite motivated,Moderately motivated,Slightly motivated,Quite motivated,Moderately motivated,Quite motivated,,,,['Vascular Surgery'],,1,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
6,2023-06-07 18:02:08,2023-06-07 18:06:40,IP Address,8.25.206.65,100,271,True,2023-06-07 18:06:40,R_25uoAdxWGbbGHRo,,,,,37.9269,-122.3313,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Not very well,Not at a lot of effort,Not very well,Extremely true,Quite true,Almost always,Almost never,Extremely true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Extremely willing,Extremely willing,I am already doing this,I am already doing this,Slightly motivated,Moderately motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Slightly motivated,,,,['Vascular Surgery'],,17,This is great - would love to help as possible. I hope we can get this launched at all campuses/sites. ,ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
7,2023-06-07 18:53:35,2023-06-07 19:00:27,IP Address,209.77.137.57,100,412,True,2023-06-07 19:00:28,R_2aOxGecyTWdWk4p,,,,,37.8381,-122.2609,anonymous,EN,Quite critical,Quite motivated,Quite a high priority,Quite well,Moderate effort,Moderately well,Extremely true,Moderately true,Often,Sometimes,Slightly true,Moderately confident,Quite willing,Slightly willing,Quite willing,Quite willing,Quite willing,Slightly willing,Moderately willing,I am already doing this,I am already doing this,I am already doing this,Moderately motivated,Moderately motivated,Moderately motivated,Slightly motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Pediatric Surgery'],,16,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
8,2023-06-07 19:38:36,2023-06-07 19:43:15,IP Address,128.218.42.236,100,278,True,2023-06-07 19:43:15,R_1ouJGe4CiooCMEZ,,,,,37.7642,-122.3993,anonymous,EN,Moderately critical,Moderately motivated,Moderate priority,Not very well,Not at a lot of effort,Slightly well,Not at all true,Not at all true,Once in a while,Often,Not at all true,Not at all confident,Slightly willing,Not at all willing,Extremely willing,Extremely willing,Extremely willing,Not at all willing,Moderately willing,Not at all willing,I am already doing this,I am already doing this,Not at all motivated,Not at all motivated,Quite motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),15,,ucsf,0,,0,0,,['0.02857142857142857'],QID13,West,9,123,1
9,2023-06-07 21:32:07,2023-06-07 21:35:23,IP Address,73.202.105.231,100,195,True,2023-06-07 21:35:23,R_3n7AoqNYrAEX7x0,,,,,38.0996,-122.5873,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Moderately well,Slight effort,Moderately well,Quite true,Extremely true,Sometimes,Often,Moderately true,Quite confident,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Slightly willing,Quite willing,Not at all willing,Extremely willing,Slightly willing,Slightly motivated,Moderately motivated,Moderately motivated,Moderately motivated,Slightly motivated,Not at all motivated,Not at all motivated,Not at all motivated,Not at all motivated,,,,['Other'],,37,You left out plastic surgery ,ucsf,0,,0,0,,['0.02857142857142857'],QID1,West,9,123,1
10,2023-06-07 22:24:03,2023-06-07 22:29:26,IP Address,174.160.48.215,100,323,True,2023-06-07 22:29:27,R_3hgWtBfuCmPnTIc,,,,,37.6652,-121.8734,anonymous,EN,Extremely critical,Extremely motivated,Top priority,Quite well,Not at a lot of effort,Slightly well,Quite true,Quite true,Almost always,Sometimes,Extremely true,Extremely true,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Extremely willing,Quite willing,Extremely willing,I am already doing this,I am already doing this,I am already doing this,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Extremely motivated,Quite motivated,Extremely motivated,Quite motivated,,,,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Surgical Oncology', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",,18,,ucsf,0,,0,0,,['0.05714285714285714'],"QID1,QID13",West,9,123,1
