,factor,col,variable,mean
0,non_cash_incentives,demographic_distribution,cornell,0.055399703981639
1,non_cash_incentives,demographic_distribution,lahey,0.15507226303484323
2,non_cash_incentives,demographic_distribution,lehigh,-0.4469189811180949
3,non_cash_incentives,demographic_distribution,northwestern,0.12926300128189222
4,non_cash_incentives,demographic_distribution,texastech,-0.008981191448677107
5,non_cash_incentives,demographic_distribution,ucsf,-0.20350874725601717
6,non_cash_incentives,demographic_distribution,und,0.24160880669111282
7,non_cash_incentives,demographic_distribution,vanderbilt,0.20535699362597618
8,non_cash_incentives,demographic_distribution,virginiamason,0.09910492453863325
9,non_cash_incentives,demographic_distribution,washu,-0.00014458129953061498
0,willingness,demographic_distribution,cornell,-0.05862820970253561
1,willingness,demographic_distribution,lahey,-0.18986718864471377
2,willingness,demographic_distribution,lehigh,-0.2592791548789193
3,willingness,demographic_distribution,northwestern,0.33108428163397496
4,willingness,demographic_distribution,texastech,-0.017947095693630125
5,willingness,demographic_distribution,ucsf,-0.053943415090188476
6,willingness,demographic_distribution,und,-0.5480632541620181
7,willingness,demographic_distribution,vanderbilt,0.13967766018438604
8,willingness,demographic_distribution,virginiamason,0.4368569005293613
9,willingness,demographic_distribution,washu,0.013435839057568542
0,attitude,demographic_distribution,cornell,-0.251721244171615
1,attitude,demographic_distribution,lahey,0.0057621914206974125
2,attitude,demographic_distribution,lehigh,-0.022742771049837397
3,attitude,demographic_distribution,northwestern,-0.08130334598068634
4,attitude,demographic_distribution,texastech,0.08896963430746738
5,attitude,demographic_distribution,ucsf,0.45121236496660766
6,attitude,demographic_distribution,und,-0.7069928339964934
7,attitude,demographic_distribution,vanderbilt,0.16268524894611153
8,attitude,demographic_distribution,virginiamason,0.4022048372279219
9,attitude,demographic_distribution,washu,-0.29325840891666266
0,cash_incentives,demographic_distribution,cornell,0.41697077147647094
1,cash_incentives,demographic_distribution,lahey,-0.19869163837248915
2,cash_incentives,demographic_distribution,lehigh,0.07499057389687809
3,cash_incentives,demographic_distribution,northwestern,0.00548386217371352
4,cash_incentives,demographic_distribution,texastech,0.37128024532069753
5,cash_incentives,demographic_distribution,ucsf,-0.08068750810278713
6,cash_incentives,demographic_distribution,und,-0.2132921458257274
7,cash_incentives,demographic_distribution,vanderbilt,0.2585473750484092
8,cash_incentives,demographic_distribution,virginiamason,0.20830125651631404
