,survey_info_response_id,attitude_criticality,attitude_motivation,attitude_priority,education_impact,education_institution_effort,education_surgical_team,education_resuable_safety,education_reprocess_safety,barriers_surgical_staff,barriers_use_items,barriers_roadblocks,barriers_no_impact,willingness_reusable,willingness_reprocessed,willingness_reusable_gown,willingness_reusable_towel,willingness_prefcard_review,willingness_colleagues,willingness_scorecard,willingness_alcohol,willingness_los,willingness_telemedicine,incentive_personal_cash,incentive_division_cash,incentive_personal_percent,incentive_division_research_funding,incentive_personal_perk,incentive_division_perk,incentive_personal_recognition_from_dept,incentive_division_recognition_from_dept,incentive_personal_recognition_natl,demographic_distribution_x,demographic_practice_list,demographic_role_list,demographic_years_in_practice,demographic_distribution_y,demographic_us_region,demographic_acs_trauma_region,demographic_sample_size
0,R_1dMlSI0KXyxsTZn,5,4,4,3,3,1,4,5,3,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,2,5,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery']",,16,ucsf,West,9,123
1,R_7QYh6bTyOmOQo3D,4,4,4,3,2,2,4,4,3,3,4,3,5,5,4,4,5,4,4,5,5,4,4,4,4,4,3,2,2,2,2,ucsf,['Pediatric Surgery'],,1,ucsf,West,9,123
2,R_6tYa59Tv4zOhQgp,5,5,4,1,1,2,4,3,4,3,2,3,4,3,4,4,3,3,4,1,5,5,2,2,2,2,2,2,2,2,2,ucsf,"['Acute Care Surgery/Emergency General Surgery', 'Trauma Surgery/Critical Care']",,,ucsf,West,9,123
3,R_25RsYOfgaO79uts,5,4,4,1,1,1,2,4,4,5,5,1,5,2,1,5,5,1,1,5,5,5,5,1,5,1,5,1,1,1,1,ucsf,['Breast Surgery'],,15,ucsf,West,9,123
4,R_22qNtCIlTv6yOWH,5,4,4,2,2,2,4,4,3,3,3,2,5,5,5,5,5,4,4,2,3,4,5,3,5,4,3,2,4,3,4,ucsf,['Vascular Surgery'],,1,ucsf,West,9,123
5,R_25uoAdxWGbbGHRo,5,5,5,1,1,1,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,1,1,1,1,1,2,ucsf,['Vascular Surgery'],,17,ucsf,West,9,123
6,R_2aOxGecyTWdWk4p,4,4,4,4,3,3,5,3,4,3,2,3,4,2,4,4,4,2,3,5,5,5,3,3,3,2,2,1,1,1,1,ucsf,['Pediatric Surgery'],,16,ucsf,West,9,123
7,R_1ouJGe4CiooCMEZ,3,3,3,1,1,2,1,1,2,4,1,1,2,1,5,5,5,1,3,1,5,5,1,1,4,1,1,1,1,1,1,ucsf,"['Abdominal Wall/Hernia Surgery', 'Bariatric/Minimally Invasive Surgery']",Program Director (or Assistant Program Director),15,ucsf,West,9,123
8,R_3n7AoqNYrAEX7x0,5,5,5,3,2,3,4,5,3,4,3,4,5,5,5,5,4,2,4,1,5,2,2,3,3,3,2,1,1,1,1,ucsf,['Other'],,37,ucsf,West,9,123
9,R_3hgWtBfuCmPnTIc,5,5,5,4,1,2,4,4,5,3,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,ucsf,"['Abdominal Wall/Hernia Surgery', 'Acute Care Surgery/Emergency General Surgery', 'Bariatric/Minimally Invasive Surgery', 'Breast Surgery', 'Colon and Rectal Surgery', 'Endocrine Surgery', 'Hepatopancreaticobiliary Surgery', 'Pediatric Surgery', 'Surgical Oncology', 'Thoracic Surgery', 'Trauma Surgery/Critical Care']",,18,ucsf,West,9,123
