,key,factor,group1,group2,meandiff,p-adj,reject,lower,upper
52,demographic_years_in_practice,willingness,1.0,12.0,-1.0122,0.0418,True,-2.0111,-0.0133
91,demographic_years_in_practice,willingness,2.0,12.0,-1.4402,0.0,True,-2.3643,-0.5161
166,demographic_years_in_practice,willingness,3.0,12.0,-1.0979,0.0241,True,-2.1414,-0.0545
271,demographic_years_in_practice,willingness,6.0,12.0,-1.1689,0.0463,True,-2.3312,-0.0067
304,demographic_years_in_practice,willingness,7.0,12.0,-1.546,0.0001,True,-2.6513,-0.4406
396,demographic_years_in_practice,willingness,10.0,11.0,-1.064,0.0229,True,-2.0718,-0.0562
397,demographic_years_in_practice,willingness,10.0,12.0,-1.5603,0.0,True,-2.5358,-0.5849
430,demographic_years_in_practice,willingness,11.0,16.0,1.1958,0.0326,True,0.036,2.3555
432,demographic_years_in_practice,willingness,11.0,18.0,1.2782,0.0001,True,0.3325,2.224
434,demographic_years_in_practice,willingness,11.0,20.0,1.0926,0.0318,True,0.0348,2.1504
437,demographic_years_in_practice,willingness,11.0,23.0,1.4236,0.0008,True,0.2897,2.5576
439,demographic_years_in_practice,willingness,11.0,25.0,1.105,0.0423,True,0.0135,2.1964
457,demographic_years_in_practice,willingness,12.0,15.0,1.1725,0.0014,True,0.2168,2.1282
458,demographic_years_in_practice,willingness,12.0,16.0,1.6921,0.0,True,0.5603,2.8239
459,demographic_years_in_practice,willingness,12.0,17.0,1.5557,0.0418,True,0.0204,3.0909
460,demographic_years_in_practice,willingness,12.0,18.0,1.7745,0.0,True,0.8633,2.6858
461,demographic_years_in_practice,willingness,12.0,19.0,1.6789,0.0499,True,0.0002,3.3577
462,demographic_years_in_practice,willingness,12.0,20.0,1.589,0.0,True,0.5619,2.616
463,demographic_years_in_practice,willingness,12.0,21.0,1.1647,0.0486,True,0.0025,2.327
464,demographic_years_in_practice,willingness,12.0,22.0,1.1366,0.0041,True,0.1611,2.112
465,demographic_years_in_practice,willingness,12.0,23.0,1.9199,0.0,True,0.8146,3.0253
467,demographic_years_in_practice,willingness,12.0,25.0,1.6013,0.0,True,0.5396,2.663
470,demographic_years_in_practice,willingness,12.0,28.0,1.6565,0.0005,True,0.366,2.9469
472,demographic_years_in_practice,willingness,12.0,30.0,1.4629,0.0,True,0.4506,2.4752
474,demographic_years_in_practice,willingness,12.0,32.0,1.1311,0.007,True,0.1322,2.13
620,demographic_years_in_practice,willingness,18.0,31.0,-1.5227,0.0307,True,-2.9933,-0.0521
627,demographic_years_in_practice,willingness,18.0,40.0,-1.1699,0.0049,True,-2.1836,-0.1563
715,demographic_years_in_practice,willingness,23.0,31.0,-1.6681,0.0272,True,-3.2663,-0.07
722,demographic_years_in_practice,willingness,23.0,40.0,-1.3153,0.011,True,-2.5065,-0.1242
63,demographic_years_in_practice,cash_incentives,1.0,23.0,-1.5023,0.0002,True,-2.6282,-0.3765
73,demographic_years_in_practice,cash_incentives,1.0,33.0,-1.3107,0.0306,True,-2.5765,-0.045
78,demographic_years_in_practice,cash_incentives,1.0,40.0,-1.6606,0.0,True,-2.7864,-0.5347
94,demographic_years_in_practice,cash_incentives,2.0,15.0,-0.9576,0.0162,True,-1.8452,-0.07
102,demographic_years_in_practice,cash_incentives,2.0,23.0,-1.7201,0.0,True,-2.776,-0.6642
105,demographic_years_in_practice,cash_incentives,2.0,26.0,-1.7484,0.0274,True,-3.4242,-0.0726
107,demographic_years_in_practice,cash_incentives,2.0,28.0,-1.3926,0.0107,True,-2.6517,-0.1334
112,demographic_years_in_practice,cash_incentives,2.0,33.0,-1.5285,0.0006,True,-2.7325,-0.3246
117,demographic_years_in_practice,cash_incentives,2.0,40.0,-1.8783,0.0,True,-2.9343,-0.8224
177,demographic_years_in_practice,cash_incentives,3.0,23.0,-1.6702,0.0,True,-2.8382,-0.5022
187,demographic_years_in_practice,cash_incentives,3.0,33.0,-1.4786,0.0068,True,-2.7819,-0.1753
192,demographic_years_in_practice,cash_incentives,3.0,40.0,-1.8284,0.0,True,-2.9964,-0.6605
205,demographic_years_in_practice,cash_incentives,4.0,15.0,-1.0635,0.0206,True,-2.064,-0.0631
213,demographic_years_in_practice,cash_incentives,4.0,23.0,-1.8261,0.0,True,-2.9785,-0.6736
216,demographic_years_in_practice,cash_incentives,4.0,26.0,-1.8543,0.0194,True,-3.5926,-0.1161
218,demographic_years_in_practice,cash_incentives,4.0,28.0,-1.4985,0.0089,True,-2.8396,-0.1574
223,demographic_years_in_practice,cash_incentives,4.0,33.0,-1.6344,0.0007,True,-2.9239,-0.345
228,demographic_years_in_practice,cash_incentives,4.0,40.0,-1.9843,0.0,True,-3.1367,-0.8318
248,demographic_years_in_practice,cash_incentives,5.0,23.0,-1.6427,0.0,True,-2.7951,-0.4902
258,demographic_years_in_practice,cash_incentives,5.0,33.0,-1.4511,0.0079,True,-2.7405,-0.1616
263,demographic_years_in_practice,cash_incentives,5.0,40.0,-1.8009,0.0,True,-2.9533,-0.6484
282,demographic_years_in_practice,cash_incentives,6.0,23.0,-1.661,0.0004,True,-2.9424,-0.3795
292,demographic_years_in_practice,cash_incentives,6.0,33.0,-1.4694,0.0267,True,-2.8753,-0.0635
297,demographic_years_in_practice,cash_incentives,6.0,40.0,-1.8192,0.0,True,-3.1006,-0.5377
315,demographic_years_in_practice,cash_incentives,7.0,23.0,-1.7295,0.0,True,-2.9564,-0.5026
325,demographic_years_in_practice,cash_incentives,7.0,33.0,-1.5379,0.0068,True,-2.8943,-0.1815
